ngo_name,title,sector,region,requested_amount,beneficiaries
GreenRoots India,Girls' STEM Scholarships,education,Maharashtra,516956,254
Udaan Charitable Trust,Digital Literacy for Rural Schools,health,Tamil Nadu,1203556,2056
Samarth Livelihoods,Vocational Training Hub,environment,Rajasthan,986213,1193
Jeevan Jyoti Sangh,Anaemia-Free District,water and sanitation,Bihar,479895,5593
Pragati Mahila Sangh,Women SHG Network,women empowerment,Gujarat,2337433,762
Green Future Trust,Clean Water Initiative,livelihood,Karnataka,1819668,310
Helping Hands Foundation,Digital Literacy Program,technology,Uttar Pradesh,174978,817
Vikas Foundation,Maternal Health Camps,community development,Madhya Pradesh,967034,1955
Narmada Seva Trust,River Cleaning Drive,education,Kerala,2169613,4981
Sahayog Trust,Polyclinic for Tribal Areas,health,Delhi NCR,161299,4647
Navodaya Foundation,Scholarship for First-Gen Students,environment,Odisha,883985,5915
Arthik Vikas Kendra,Livelihood Training,water and sanitation,Northeast,2335650,3486
Prakriti Rakshak,Community Forestry,women empowerment,Andhra Pradesh,974594,3729
Dhanvantari Trust,Mobile Health Van,livelihood,West Bengal,1216816,6680
Ujjwal Bhavishya,After-School Tutoring,technology,Punjab,77257,6266
Saksham India,Skill Development Centre,community development,Haryana,719659,5769
Gram Vikas Parishad,Rural Water Purification,education,Jharkhand,1822573,2837
Sadbhavna Trust,Women Safety Helpline,health,Chhattisgarh,1215476,1323
Anand Social Welfare,Senior Citizen Care,environment,Uttarakhand,953091,7891
Parivartan Foundation,Solar Electrification of Schools,water and sanitation,Himachal Pradesh,1461779,887
Asha Kiran Society,Mobile Health Units,women empowerment,Assam,439004,3162
Vidya Bharti Trust,STEM Labs in Government Schools,livelihood,Goa,455657,2990
Roshni Foundation,Girls' Education Support,technology,Jammu and Kashmir,1492654,4995
Sahaya,Disability Rehabilitation Centre,community development,Maharashtra,1159480,6661
Greenleaf India,Mangrove Restoration,education,Tamil Nadu,232244,6027
Jan Kalyan Samiti,Primary Healthcare Camp,health,Rajasthan,1976967,4442
Umeed,Self-Employment for Women,environment,Bihar,573558,7605
Vasundhara,Plastic Waste Management,water and sanitation,Gujarat,1637688,695
Sahajdoor,Financial Literacy Program,women empowerment,Karnataka,2365426,2451
