name,sectors,regions,avg_project_scale,track_record,cycles_completed,contact,registration_no
Prayas Foundation,education;women empowerment,Maharashtra;Gujarat;Madhya Pradesh,3200,0.92,7,partnerships@prayasfoundation.org,MH/2011/0045821
Vidya Setu,education;technology,Karnataka;Tamil Nadu;Kerala,2600,0.88,6,connect@vidyasetu.org,KA/2013/0067234
GreenRoots India,environment;water and sanitation,Rajasthan;Gujarat;Maharashtra,1800,0.81,5,field@greenrootsindia.org,RJ/2014/0031190
Sahyog Welfare Society,health;community development,Bihar;Uttar Pradesh;Jharkhand,2400,0.79,4,office@sahyogwelfare.org,BR/2015/0088471
Nirmaan Collective,livelihood;women empowerment,Odisha;Chhattisgarh;West Bengal,1500,0.86,5,hello@nirmaancollective.org,OD/2012/0052003
Udaan Charitable Trust,education;health,Uttar Pradesh;Delhi NCR;Haryana,4100,0.9,8,grants@udaantrust.org,UP/2010/0019887
Jeevan Dhara Trust,water and sanitation;health,Rajasthan;Madhya Pradesh;Chhattisgarh,2100,0.83,6,water@jeevandhara.org,RJ/2013/0044672
Anna Kshetra Foundation,livelihood;community development,Andhra Pradesh;Telangana;Karnataka,2800,0.77,4,team@annakshetra.org,AP/2016/0093310
Shakti Mahila Mandal,women empowerment;livelihood,Bihar;Jharkhand;Odisha,1300,0.84,5,shakti@mahilamandal.org,BR/2014/0071556
Digital Bharat Initiative,technology;education,Delhi NCR;Karnataka;Maharashtra,3500,0.87,6,contact@digitalbharat.org,DL/2015/0080124
Vanraksha Society,environment;community development,Uttarakhand;Himachal Pradesh;Assam,1200,0.8,4,forest@vanraksha.org,UK/2013/0038902
Arogya Setu Foundation,health;water and sanitation,Tamil Nadu;Kerala;Andhra Pradesh,3000,0.89,7,care@arogyasetufdn.org,TN/2011/0026745
Gram Vikas Manch,community development;livelihood,Madhya Pradesh;Chhattisgarh;Rajasthan,2200,0.75,3,rural@gramvikasmanch.org,MP/2017/0101433
Pragati Skills Trust,livelihood;technology,Punjab;Haryana;Delhi NCR,1900,0.82,5,skills@pragatitrust.org,PB/2014/0059218
Nari Shakti Kendra,women empowerment;health,Maharashtra;Gujarat;Goa,1600,0.85,6,kendra@narishakti.org,MH/2013/0047120
Sujal Paani Foundation,water and sanitation;environment,West Bengal;Odisha;Northeast,1400,0.78,4,info@sujalpaani.org,WB/2016/0090778
Ekjut Community Trust,community development;education,Jharkhand;Bihar;West Bengal,2000,0.8,5,ekjut@communitytrust.org,JH/2012/0055640
Prakriti Mitra Sangathan,environment;livelihood,Karnataka;Kerala;Tamil Nadu,1700,0.83,5,green@prakritimitra.org,KA/2014/0063991
